São José dos Campos | Todos os Municípios
NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Adamantina,3500105,adamantinense,MÁRCIO CARDIM,411.987,35023,82.15,97.6,0.790,7.87,160719,137084,32838.70,
Adolfo,3500204,adolfino,IZAEL ANTONIO FERNANDES,211.055,3571,16.85,98.6,0.730,17.86,27334,20104,23911.98,
Aguaí,3500303,aguaiano,JOSÉ ALEXANDRE PEREIRA DE ARAÚJO,474.554,35954,67.72,95.8,0.715,15.27,84095,72169,21719.50,
Águas da Prata,3500402,pratense,CARLOS HENRIQUE FORTES DEZENA,142.961,8137,53.05,98.8,0.781,11.11,29390,24363,17688.07,
Águas de Lindóia,3500501,lindoiense,GILBERTO ABDOU HELOU,60.126,18599,287.16,96.2,0.745,9.01,86949,75201,24727.02,
Águas de Santa Bárbara,3500550,santa-barbarense,AROLDO JOSÉ CAETANO,404.463,6040,13.83,98.2,0.757,52.63,34484,28472,26362.59,
Águas de São Pedro,3500600,água-pedrense,PAULO SERGIO BARBOZA DE LIMA,3.612,3380,488.89,98.4,0.854,38.46,25158,22710,41378.02,
Agudos,3500709,agudense,ALTAIR FRANCISCO SILVA,966.708,37023,35.73,97.9,0.745,9.73,159981,143418,69828.53,
Alambari,3500758,alambariense,HUDSON JOSE GOMES,159.600,5918,30.66,99.3,0.712,17.24,23711,21839,15426.66,
Alfredo Marcondes,3500808,marcondense,EDMILSON JOSE CORREIA,118.915,4147,32.86,98.6,0.741,-,16479,15112,18074.69,
Altair,3500907,altairense,ANTONIO PADRON NETO,313.007,4134,12.16,96,0.687,21.74,22319,19411,48984.40,
Altinópolis,3501004,altinopolense,JOSÉ ROBERTO FERRACIN MARQUES,928.956,16164,16.80,99.3,0.730,11.05,72144,55436,28541.39,
Alto Alegre,3501103,alto-alegrense,HELENA BERTO TOMAZINI SORROCHE,318.574,4110,12.86,95.1,0.700,-,20846,18236,24529.77,
Alumínio,3501152,aluminense,ANTONIO PIASSENTINI,83.660,18484,201.28,98.8,0.766,16.95,75397,72573,99392.72,
Álvares Florence,3501202,alvares florencense,CALIMÉRIO LUIZ CORREA SALES,362.411,3712,10.74,99.3,0.728,26.32,20471,18241,24830.77,
Álvares Machado,3501301,machadense,JOSÉ CARLOS CABRERA PARRA,347.647,24830,67.69,98.3,0.758,12.01,62881,60297,19024.25,
Álvaro de Carvalho,3501400,carvalhense,CÍCERO MARTINS DOS SANTOS,153.662,5179,30.36,99.2,0.688,-,17943,16441,9771.95,
Alvinlândia,3501509,alvinlandense,ABIGAIL CATELI DIAS,84.879,3206,35.38,99.3,0.722,21.74,15306,12941,14823.57,
Americana,3501608,americanense,OMAR NAJAR,133.912,237112,1572.75,98,0.811,14.89,774033,709744,44417.02,
Américo Brasiliense,3501707,américo-brasiliense,DIRCEU BRAS PANO,122.785,39962,280.91,98.6,0.751,16.1,99791,100799,21643.91,
Américo de Campos,3501806,americampense,CARLOS ROBERTO ACHILLES,252.876,5956,22.54,98.2,0.745,-,23219,21407,16655.61,
Amparo,3501905,amparense,LUIZ OSCAR VITALE JACOB,445.323,71700,147.75,95.7,0.785,5.72,262300,240728,48680.71,
Analândia,3502002,analandense,JAIRO APARECIDO MASCIA,325.953,4933,13.18,99.7,0.754,20,31225,30968,29771.71,
Andradina,3502101,andradinense,TAMIKO INOUE,964.226,57112,57.39,98.2,0.779,9.62,166955,147353,54270.98,
Angatuba,3502200,angatubense,LUIZ ANTONIO MACHADO,1027.288,24969,21.61,98.3,0.719,24.02,82169,66306,34197.41,
Anhembi,3502309,anhembiense,MIGUEL VIEIRA MACHADO NETO,736.557,6627,7.67,97.2,0.721,-,31347,29908,20118.47,
Anhumas,3502408,anhumense,GENILDO RAMINELI,320.840,4085,11.66,98.3,0.741,26.32,19929,17615,16891.98,
Aparecida,3502507,aparecidense,ERNALDO CESAR MARCONDES,121.076,36129,289.13,98.4,0.755,9.63,111613,98271,30760.41,
Aparecida d'Oeste,3502606,aparecidense,MAERCIO DIAS DE MENEZES,179.004,4234,24.86,97.7,0.721,-,19561,17744,22567.32,
Apiaí,3502705,apiaiense,LUCIANO POLACZEK NETO,974.322,24526,25.85,97.3,0.710,5.18,71090,65067,24498.90,
Araçariguama,3502754,araçariguamense,LILIANA MEDEIROS DE ALMEIDA AYMAR BECHAR,145.204,21854,117.63,98.2,0.704,18.52,109901,98904,103080.36,
Araçatuba,3502804,araçatubense,DILADOR BORGES DAMASCENO,1167.126,195874,155.54,97.6,0.788,7.61,524096,489800,35797.47,
Araçoiaba da Serra,3502903,araçoiabano,DIRLEI SALAS ORTEGA,255.327,33499,106.88,99.4,0.776,22.16,137564,82578,20402.88,
Aramina,3503000,araminense,DALVA APARECIDA PIERAZO RODRIGUES,202.829,5585,25.39,98.7,0.740,12.99,23826,21844,22763.73,
Arandu,3503109,aranduense,LUIZ CARLOS DA COSTA,285.908,6348,21.42,98.4,0.685,41.1,30445,30414,20640.43,
Arapeí,3503158,arapeiense,EDSON ANDRE DE SOUZA,156.903,2478,15.89,98.7,0.680,0,15297,12648,10289.63,
Araraquara,3503208,araraquarense,EDSON ANTONIO EDINHO DA SILVA,1003.625,233744,207.90,98.7,0.815,10.25,813195,797613,39065.74,
Araras,3503307,ararense,RUBENS FRANCO JUNIOR,644.831,132934,184.30,97.5,0.781,8.6,543416,472763,38412.06,
Arco-Íris,3503356,arcoirense,ANA MARIA ZONER LEAL SERAFIM,264.904,1811,7.27,99.1,0.722,0,14876,12392,27756.09,
Arealva,3503406,arealvense,ELSON BANUTH BARRETO,504.973,8505,15.53,99.6,0.744,-,28043,23705,20317.67,
Areias,3503505,areiense,PAULO HENRIQUE DE SOUZA COUTINHO,305.227,3876,12.11,96.8,0.697,-,17340,15919,9757.85,
Areiópolis,3503604,areiopolitano,ANTONIO MARCOS DOS SANTOS,85.907,11099,123.35,97.3,0.695,6.45,31683,27660,11717.73,
Ariranha,3503703,ariranhense,JOAMIR ROBERTO BARBOZA,132.624,9573,64.19,99.6,0.733,10.31,46471,39792,69837.66,
Artur Nogueira,3503802,nogueirense,IVAN CLEBER VICENSOTTI,178.026,53450,248.15,98.3,0.749,6.97,151691,141937,19388.74,
Arujá,3503901,arujaense,JOSE LUIZ MONTEIRO,96.167,88455,779.33,98.2,0.784,12.6,285278,247387,55521.78,
Aspásia,3503950,aspasiense,JOSUÉ EDUARDO DE ASSUNÇÃO,69.373,1825,26.09,97.1,0.735,0,15747,13473,16808.44,
Assis,3504008,assisense,JOSÉ APARECIDO FERNANDES,460.609,103666,206.70,98.9,0.805,10.5,354752,288567,27921.64,
Atibaia,3504107,atibaiano,SAULO PEDROSO DE SOUZA,478.521,141398,264.57,97.3,0.765,14.71,489343,465279,42412.58,
Auriflama,3504206,auriflamense,OTAVIO HENRIQUE ORTUNHO WEDEKIN,434.498,15123,32.72,98.8,0.773,10.81,43953,39071,19441.24,
Avaí,3504305,avaiense,ANDRÉ LUIS DA SILVEIRA ANTONIO,540.689,5369,9.18,99.4,0.714,14.08,20942,18278,53431.32,
Avanhandava,3504404,avanhandavense,CIRO AUGUSTO MOURA VENERONI,338.370,13433,33.40,97.2,0.705,29.63,47969,41722,26101.70,
Avaré,3504503,avareense,JOSELYR BENEDITO COSTA SILVESTRE,1213.055,90063,68.37,97.9,0.767,16.76,312719,278557,28025.47,
Bady Bassitt,3504602,badiense,LUIZ ANTONIO TOBARDINI,110.372,17236,132.32,98.5,0.746,-,63870,55031,19311.66,
Balbinos,3504701,balbinense,BENEDITO JACKSON BALANCIERI,91.635,5532,40.40,98.9,0.669,-,15169,14052,8535.38,
Bálsamo,3504800,balsamense,CARLOS EDUARDO CARMONA LOURENÇO,149.881,8994,54.18,99,0.756,-,24570,22761,20025.40,
Bananal,3504909,bananalense,JORGE DA SILVA RODRIGUES FILHO,616.427,10896,16.58,97.1,0.733,-,34981.6939,31691.34202,20068.92,
Barão de Antonina,3505005,barãoense,MARIA ROSA BUENO DE MEIRA,153.142,3441,20.35,100,0.711,19.23,16392,14127,20287.75,
Barbosa,3505104,barbosano,PAULO CÉSAR BALIEIRO,205.212,7335,32.14,98.4,0.699,11.36,23186,20061,13925.31,
Bariri,3505203,baririense,FRANCISCO LEONI NETO,444.405,34961,71.14,96.3,0.750,17.63,103012,92916,41510.78,
Barra Bonita,3505302,barra-bonitense,JOSÉ LUIS RICI,150.121,36127,235.12,99.8,0.788,9.2,115636,103440,38128.22,
Barra do Chapéu,3505351,barrense,JANETE SARTI DO AMARAL,405.681,5688,12.93,96.9,0.660,28.57,15359,16455,14551.58,
Barra do Turvo,3505401,barra-turvense,JEFFERSON LUIZ MARTINS,1007.670,7687,7.67,95.6,0.641,32.26,35550,32005,10286.62,
Barretos,3505500,barretense,GUILHERME HENRIQUE DE ÁVILA,1566.161,121344,71.60,97.8,0.789,9.68,526128,543579,36842.26,
Barrinha,3505609,barrinhense,MITUO TAKAHASI,146.025,32434,195.66,97.5,0.725,10.5,81349,72595,15185.41,
Barueri,3505708,barueriense,RUBENS FURLAN,65.701,271306,3665.21,97.8,0.786,9.55,2741827,2450131,177735.30,
Bastos,3505807,bastense,MANOEL IRONIDES ROSA,170.912,20954,118.95,98.5,0.751,7.52,59380,50420,39033.19,
Batatais,3505906,batataense,JOSE LUIS ROMAGNOLI,849.526,62024,66.48,97.7,0.761,15.78,174114,157203,27229.67,
